releasedDate,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,artist,key,explicit,genre
1963,0.7181,0.4841,0.1996,0.2046,-13.3699,0.0516,114.3029,"['Broke God', 'Pcxix']",1,1,afropop
1964,0.6951,0.5019,0.1670,0.2156,-12.8450,0.0616,114.7053,['Two Charming Men'],11,0,afroswing
1965,0.6131,0.5008,0.1219,0.2139,-12.0341,0.0576,116.6388,['Tr0ma'],1,0,aggrotech
1966,0.5264,0.5047,0.1178,0.2167,-11.3602,0.0541,117.0764,"[""The Swingin' Bachelors""]",0,0,alabama indie
1967,0.5423,0.4892,0.1230,0.1914,-11.8496,0.0516,116.0916,"[""The Swingin' Bachelors""]",9,0,alabama metal
1968,0.4930,0.4973,0.1250,0.2151,-12.0021,0.0586,115.8942,"['ST', '98', 'Niklas O']",9,1,alabama rap
1969,0.4461,0.4862,0.1630,0.2080,-11.9812,0.0542,117.0170,['Aryiró Yiannopoúlou'],0,0,alaska indie
1970,0.4570,0.5052,0.1301,0.2116,-11.7598,0.0512,117.3743,['Marika Papagkika'],5,0,albanian hip hop
1971,0.4597,0.5020,0.1254,0.2124,-12.1164,0.0601,118.1683,"['Gustavo Obligado', 'Ariel Flores', 'Sam Nacht']",10,1,albanian pop
1972,0.4599,0.5212,0.1178,0.2061,-11.7897,0.0537,119.3463,['Jodoli'],8,0,alberta country
1973,0.4173,0.5128,0.1000,0.1981,-11.1916,0.0565,120.0493,['Aryiró Yiannopoúlou'],6,0,alberta hip hop
1974,0.4492,0.5184,0.1166,0.2144,-11.8495,0.0743,118.9931,['Maurice Chevalier'],6,0,album rock
1975,0.4301,0.5227,0.1107,0.2133,-11.4452,0.0617,118.8617,['No.Losiento'],6,0,albuquerque indie
1976,0.3701,0.5286,0.1244,0.2466,-11.1953,0.0624,120.2948,['Mamie Smith & Her Jazz Hounds'],9,0,alternative americana
1977,0.3431,0.5335,0.1274,0.2263,-11.1269,0.0630,121.6445,['Mistinguett'],8,0,alternative country
1978,0.3411,0.5390,0.1034,0.2175,-11.0951,0.0650,120.2093,"[""The Swingin' Bachelors""]",0,0,alternative dance
1979,0.3015,0.5636,0.1164,0.2102,-10.9911,0.0676,122.1736,['Mamie Smith & Her Jazz Hounds'],10,0,alternative emo
1980,0.2932,0.5544,0.1255,0.2040,-10.7144,0.0583,122.6729,['Mistinguett'],7,0,alternative hip hop
1981,0.3058,0.5424,0.1449,0.2254,-10.9683,0.0577,123.0405,['No.Losiento'],5,0,alternative metal
1982,0.2968,0.5601,0.1034,0.1989,-11.0646,0.0669,120.8920,['Marika Paragkika'],4,0,alternative pop
1983,0.3096,0.5447,0.1438,0.1982,-11.3953,0.0660,120.8497,['Francisco Canaro'],7,0,alternative pop rock
1984,0.2941,0.5310,0.1446,0.1919,-11.6971,0.0589,121.1312,['Amalia Vaka'],3,0,alternative r&b
1985,0.3097,0.5551,0.1187,0.1968,-11.4783,0.0586,121.2250,['Georgel'],4,0,alternative rock
1986,0.2911,0.5402,0.1152,0.2112,-11.2254,0.0648,120.2390,['Ánna Khrisáfi'],2,0,alternative roots rock
1987,0.3358,0.5369,0.1069,0.1976,-12.0058,0.0572,120.0576,['Konbeatz'],1,0,amapiano
1988,0.3244,0.5381,0.1252,0.2103,-11.5810,0.0666,119.9394,['Two Charming Men'],11,0,ambeat
1989,0.3179,0.5447,0.1191,0.1982,-11.4668,0.0640,120.3594,['No.Losiento'],5,0,ambient
1990,0.3431,0.5335,0.1319,0.1888,-11.4280,0.0641,120.0291,"[""The Swingin' Bachelors""]",5,0,ambient black metal
1991,0.3454,0.5556,0.1394,0.1883,-11.0761,0.0702,119.7915,['Gianni Negro'],7,0,ambient dub techno
1992,0.3343,0.5551,0.1067,0.1969,-10.6947,0.0723,122.6890,['srlil'],10,1,ambient folk
1993,0.3203,0.5697,0.1118,0.1922,-11.0844,0.0769,120.4223,['LolCat'],2,0,ambient house
1994,0.3210,0.5497,0.1180,0.1911,-10.5270,0.0752,117.9595,['Raff'],1,1,ambient idm
1995,0.3171,0.5598,0.1265,0.1988,-10.3024,0.0822,118.9650,['LOU Rice!'],8,1,ambient industrial
1996,0.3095,0.5878,0.1006,0.1999,-9.5742,0.0860,117.9723,['Dick Haymes'],7,0,ambient pop
1997,0.3127,0.5742,0.1106,0.2019,-9.2563,0.0898,118.1493,"[""The Swingin' Bachelors""]",9,0,ambient psychill
1998,0.3010,0.5807,0.1265,0.1953,-9.1400,0.0889,118.0701,"['Gustavo Obligado', 'Ariel Flores', 'Sam Nacht']",1,1,ambient techno
1999,0.2863,0.5815,0.1135,0.2059,-8.4898,0.0935,119.4758,['Félix Mayol'],1,0,ambient trance
2000,0.2976,0.5955,0.1311,0.2162,-8.4562,0.0891,117.6682,['Mamie Smith & Her Jazz Hounds'],2,0,ambient worship
2001,0.2679,0.5918,0.1020,0.1913,-7.9065,0.0845,118.3389,['Khrisóstomos Theodosópoulos'],6,0,american 21st century classical
2002,0.2964,0.5696,0.1080,0.1998,-8.0662,0.0816,119.4531,['Marika Papagkika'],1,0,american choir
2003,0.2848,0.5749,0.1033,0.2111,-7.7865,0.0961,120.1913,['Fortugé'],7,0,american classical piano
2004,0.2491,0.5706,0.1068,0.2149,-7.3766,0.0965,120.6074,['Gustavo Obligado'],5,1,american contemporary classical
2005,0.2536,0.5570,0.1636,0.2167,-8.2982,0.0906,123.5640,['South Shore Singers'],7,0,american early music
2006,0.2813,0.5444,0.1365,0.2071,-7.9589,0.0760,123.0937,['Amalia Vaka'],3,0,american folk revival
2007,0.2189,0.5573,0.1398,0.2127,-7.4943,0.0822,125.2033,['South Shore Singers'],5,0,american grindcore
2008,0.2856,0.5539,0.1250,0.2331,-7.5661,0.0744,120.6444,['Marika Papagkika'],1,0,american metalcore
2009,0.2515,0.5660,0.1480,0.2151,-7.4325,0.0892,124.8295,['696'],5,1,american modern classical
2010,0.2087,0.5996,0.1734,0.2113,-8.0027,0.0801,123.3272,['Justrock'],0,0,american oi
2011,0.2395,0.5769,0.2103,0.1997,-8.1342,0.0809,124.2413,"['ST', '1920Johnny', 'Niklas O', 'Yahziz', 'Kaizoku']",3,1,american orchestra
2012,0.2135,0.5588,0.1929,0.2209,-7.6509,0.0854,123.3806,"['ST', '1920Johnny', '98', 'Barracuda', 'Niklas O']",9,1,american post-rock
2013,0.1896,0.5939,0.3124,0.2150,-8.2387,0.0853,124.1597,['Francisco Canaro'],9,0,american primitive
2014,0.2268,0.5862,0.2600,0.2224,-7.8269,0.0976,124.6215,['Two Charming Men'],1,0,american romanticism
2015,0.2916,0.5605,0.2443,0.1986,-9.2308,0.0826,120.8788,['Gustavo Obligado'],2,1,american shoegaze
2016,0.2269,0.5816,0.2033,0.2214,-8.0029,0.0972,123.8149,['Jodoli'],1,0,anadolu rock
2017,0.2074,0.5805,0.2471,0.2315,-8.0263,0.0967,121.8298,['Berthe Sylva'],1,0,anarcho-punk
2018,0.2338,0.6027,0.2299,0.2310,-8.1734,0.1210,123.6443,['Bonheur Alice'],5,0,anglican liturgy
2019,0.2613,0.6031,0.2211,0.2185,-8.5277,0.1068,122.4197,['Dick Haymes'],7,0,animal singing
2020,0.2023,0.6053,0.2490,0.2344,-8.0776,0.1006,124.0583,['Zheiko'],1,0,anime
2021,0.3403,0.6525,0.3568,0.1623,-9.5478,0.1086,120.5259,['Aaron Beta'],1,0,anime latino
